ukbb20003;n
vasad 5mg capsule;0
calcipine 5mg capsule;0
prenylamine;2
synadrin 60mg tablet;0
gtn 400micrograms spray;1273
bamethan sulphate;0
vasculit 12.5mg tablet;0
pernivit tablet;0
oxedrine tartrate;0
sympatol 10% liquid;0
dextrothyroxine sodium;4
choloxin 2mg tablet;0
asmaven 2mg tablet;0
cobutolin 2mg tablet;0
vasyrol 25mg tablet;0
dicynene 250mg tablet;4
fructose powder;1
ruthmol salt subtitute powder;0
selora powder;0
vitamin a;190
ro-a-vit 50,000iu tablet;0
vitamin a+d capsule;89
halycitrol syrup;0
paxadon 50mg tablet;0
benerva 3mg tablet;3
cacit 500mg effervescent tablet;32
aluzyme tablet;0
lipoflavonoid capsule;0
lipotriad capsule;2
tonivitan syrup;1
wallachol tablet;0
calcimax syrup;1
ce-cobalin syrup;0
concavit capsule;0
dalivit capsule;2
juvel tablet;5
minamino compound syrup;1
multivite pellet;7
orovite tablet;0
polyvite capsule;0
surbex-t tablet;0
tonivitan capsule;0
verdiviton elixir;0
vi-daylin syrup;0
vitavel elixir;1
gentian acid mixture;0
aneurone mixture;0
calciferol high-str. 10,000units tablet;3
calcium+vitamin d 500units tablet;2555
chocovite 15micrograms tablet;0
sterogyl 15mg/1.5ml solution;0
tachyrol 200micrograms tablet;0
ephynal 3mg tablet;0
vita-e 75iu tablet;6
multivitamins;16550
allbee with c capsule;0
bc-500 tablet;0
bravit tablet;0
labiton tonic;0
metatone tonic;15
strychnine;0
mobilan 25mg capsule;0
slo-indo 75mg m/r capsule;0
butazolidin 100mg tablet;0
tolectin ds 400mg capsules;0
myocrisin 1mg/0.5ml injection;0
myocrisin 5mg/0.5ml injection;0
choline magnesium trisalicylate;0
trilisate 500mg tablet;0
sodium salicylate;0
ramodar 200mg tablet;0
ibular 200mg tablet;0
ibumetin 200mg tablet;0
paxofen 200mg tablet;0
indoflex 25mg capsule;0
indolar 25mg capsule;1
aloral 100mg tablet;0
aloral 300mg tablet;0
aluline 100mg tablet;0
aluline 300mg tablet;0
hamarin 100mg tablet;0
mestinon 1mg/1ml injection;2
finalgon ointment;0
chloromycetin redidrops 0.5% eye drops 5ml;0
opulets chloramphenicol single-use eye drops 0.5ml;0
chloramphenicol eye drops;20
chloramphenicol 0.5%;11
norflex 100mg tablet;0
bromelains;112
ananase forte 100,000units tablet;0
chymoral 50,000au tablet;0
deanase 10mg e/c tablet;0
deoxyribonuclease;1
adrenaline cream;0
soframycin 0.5% eye drops 8ml;0
albucid 2.5% eye ointment;0
albucid 6% eye ointment;0
albucid 10% eye ointment;1
isopto cetamide eye drops;0
minims sulphacetamide single-use eye drops 0.5ml;0
sulphacetamide 10% eye drops;0
ophthalmadine 0.1% eye drops;0
ophthalmadine 0.5% eye ointment;1
sulfomyl 5% eye drops;0
mafee 5% eye drops;0
albucid 20% eye drops;1
opulets atropine single-use eye drops 0.5ml;0
lachesine chloride;1
eumovate 0.1% eye drops 5ml;3
cortucid eye ointment;0
framygen eye ointment;0
neo-cortef eye drops;0
physostigmine+pilocarpine 0.25%+2% eye drops;1
opulets pilocarp-1% del 0.5ml;0
isopto epinal 1% eye drops;1
tosmilen 0.25% eye drops;0
opulets sodium chloride single-use eye drops 0.5ml;1
minims thymoxamine single-use eye drops 0.5ml;0
zincfrin 0.25% eye drops;1
minims amethocaine hcl 0.5% single-use eye drops 0.5ml;1
clioquinol 1% ear drops;2
ototrips ear drops;0
gentamicin+hydrocortisone acetate 0.3%/1% ear drops;7
neo-cortef ear drops 5ml;0
soframycin nebuliser solution;0
iliadin mini 0.05% nose drops;0
iliadin mini paediatric 0.025% nose drops;0
oxymetazoline 500micrograms/ml nasal spray;16
neophryn 0.25% nose drops;0
neophryn 0.5% nasal spray;1
xylometazoline 0.1% nose drops;3
hayphryn nasal spray;2
otrivine-antistin nose drops;9
argotone nose drops;0
argotone nasal spray;4
pimafucin 2.5% suspension 20ml;0
macrogol ointment;146
merocaine lozenge;1
chloraseptic throat spray 100ml;0
wool fat hydrous ointment;0
titanium dioxide 20% paste;0
dermacare cream 100ml;5
dermacare lotion 75ml;1
dermacare lotion 200ml;0
dermacare lotion 500ml;1
cortacream 1% band;1
dome-cort 0.125% cream;0
hydroderm ointment;0
nybadex ointment;0
desonide;1
tridesilon 0.05% ointment;0
desoxymethasone;0
temetex 0.1% cream;0
temetex 0.1% ointment;0
fluocinonide;9
fluocortolone;2
synandone 0.01% cream;0
flurandrenolone;0
silderm cream;1
halcinonide;0
etretinate;1
tigason 10mg capsule;0
bufexamac product;0
bufexamac 5% cream;0
antraderm mild 0.5% waxstick;0
resorcinol + sulphur paste;0
dome-acne cream;0
dome-acne lotion;0
dome-acne application;0
benzagel 5% gel;0
salbulin 2mg tablet;0
salbulin 2mg/2ml liquid;0
salbuvent 2mg tablet;0
salbuvent 2mg/5ml syrup;1
isoetharine hydrochloride;0
numotac 10mg m/r tablet;0
aleudrin 20mg tablet;0
aleudrin 1% spray for nebuliser;0
iso-autohaler 80micrograms inhaler;3
theodrox tablet;0
sabidal sr-270 424mg m/r tablet;0
pro-vent 300mg m/r capsule;0
asmaven 100micrograms inhaler;1
cobutolin 100micrograms inhaler;1
aerolin-400 100micrograms inhaler;5
salbuvent 100micrograms inhaler;125
salbuvent 5mg/ml respirator solution;4
monovent 5mg tablet;0
bronchodil 20mg tablet;0
theograd 350mg m/r tablet;0
biophylline 350mg m/r tablet;1
adrenaline+atropine compound spray;1
bextasol 100micrograms inhaler;0
alupent expectorant 20mg tablet;1
asma-vydrin spray;0
bricanyl compound tablet;6
bricanyl expectorant elixir;2
bronchilator inhaler;15
cam mixture;0
duo-autohaler inhaler;11
iso-brovon pressurised inhaler;1
medihaler duo inhaler;1
nethaprin dospan m/r tablet;0
rybar no-1 inhaler;2
rybar no-2 inhaler;0
taumasthman tablet;0
tedral tablet;0
tedral elixir;0
alunex 4mg tablet;0
benadryl 25mg capsule;72
histryl spansule 5mg m/r capsule;0
lergoban 5mg m/r tablet;1
anthisan 50mg tablet;1
actidil 2.5mg tablet;0
oxygen gas;47
tyloxapol;0
squill opiate pastille;0
copholcoids pastille;0
davenol linctus;0
extil compound linctus;0
lotussin linctus;0
nethaprin expectorant syrup;0
noradran syrup;0
organidin 60mg/5ml elixir;0
pavacol-d mixture;3
phenergan comp expect linctus;4
pholcomed linctus;0
pholcomed pastille;0
pholcomed-d linctus;0
pholtex mixture;0
rubelix elixir;0
tercoda elixir;0
tercolix elixir;0
benylin decongestant syrup;6
alevaire 1.25mg/ml solution;1
bromhexine hydrochloride;0
bisolvon 8mg tablet;4
mucolex 375mg tablet;0
dextromethorphan hydrobromide;0
cosylan 13.5mg/5ml syrup;0
dimyril 40mg/5ml linctus;0
noscapine;0
dia-tuss 10mg/5ml syrup;0
ammonium chloride+morphine mixture;0
triogesic elixir;0
triominic syrup;0
congesteze 120mg/1mg tablet;2
dichloralphenazone;1
atensine 2mg tablet;1
evacalm 2mg tablet;23
solis 2mg capsule;0
valium 10mg suppository;1
ketazolam;0
anxon 15mg capsule;0
almazine 1mg tablet;1
tenavoid tablet;0
paxane 15mg capsule;0
dormonoct 1mg tablet;1
noctamid 500micrograms tablet;0
nitrados 5mg tablet;0
noctesed 5mg tablet;0
somnite 5mg tablet;0
surem 5mg capsule;0
unisomnia 5mg tablet;0
triazolam;0
halcion 125micrograms tablet;0
alupram 2mg tablet;2
oxanid 10mg tablet;0
prazepam;0
centrax 10mg tablet;0
fortunan 500micrograms tablet;0
veractil 25mg tablet;1
integrin 10mg capsule;1
moditen enanthate 25mg/ml injection;1
amytal 15mg tablet;0
phanodorm 200mg tablet;0
sodium amytal 60mg tablet;0
methyprylone;1
noludar 200mg tablet;0
dozine 25mg/5ml syrup;0
chlorprothixene;0
taractan 15mg tablet;0
butriptyline;0
evadyne 25mg tablet;0
pacitron 500mg tablet;0
villescon tablet;0
durophet 7.5mg m/r capsule;1
nilstim 400mg tablet;0
praminil 10mg tablet;1
iproniazid;0
marsilid 25mg tablet;0
limbitrol 10 capsule;2
prefil 80% granules;0
teronac 2mg tablet;0
paynocil 600mg tablet;0
solprin 300mg dispersible tablet;1
levius 500mg m/r tablet;0
palaprin forte 600mg tablet;0
calpol six plus 250mg/5ml suspension;0
panadol 500mg capsule;25
panadol 500mg tablet;29
panadol 500mg soluble tablet;5
panasorb 500mg tablet;0
salzone 120mg/5ml syrup;0
panaleve 120mg/5ml elixir;0
meclozine hydrochloride;2
ancoloxin tablet;0
metox 10mg tablet;0
metramid 10mg tablet;0
thiethylperazine;0
torecan 6.33mg tablet;0
aspergum 227mg chewing gum;0
claradin 300mg tablet;2
laboprin 300mg tablet;0
antoin dispersible tablet;2
cafadol tablet;0
codis dispersible tablet;18
delimon tablet;0
solpadeine forte dispersible tablet;10
syndol tablet;374
trancoprin tablet;0
unigesic capsule;0
veganin tablet;23
opium 10mg/ml tincture;0
duromorph 64mg/1ml m/r injection;0
nepenthe 8.4mg/ml elixir;0
nepenthe 4.2mg/0.5ml injection;0
temgesic 600micrograms/2ml injection;0
palfium 5mg/1ml injection;0
femerital tablet;2
hypon tablet;0
formulix 12mg/5ml elixir;0
calpol extra tablet;0
medised tablet;0
medised original suspension;0
medocodeine tablet;2
myolgin dispersible tablet;0
neurodyne capsule;2
norgesic tablet;1
paedo-sed syrup;0
panadeine tablet;2
panadeine forte tablet;2
panadeine soluble tablet;0
paradeine tablet;1
parahypon tablet;0
parake tablet;0
paramol 10/500mg tablet;4
pardale tablet;0
paxalgesic tablet;0
pharmidone tablet;0
propain tablet;19
safapryn tablet;0
safapryn-co tablet;0
solpadeine soluble effervescent tablet;48
palfium 10mg/1ml injection;0
df118 30mg tablet;14
df118 10mg/5ml elixir;1
df118 50mg/1ml injection;0
dromoran 1.5mg tablet;1
dromoran [cns] 2mg/1ml injection;0
beclamide;31
nydrane 500mg tablet;0
luminal 15mg tablet;0
stesolid 5mg/2.5ml rectal solution;0
pethilorfan 50mg/1ml injection;0
dihydroergotamine mesylate;1
dihydergot 1mg tablet;0
acetazolamide [ep] 250mg tablets;5
mantadine 100mg capsule;0
benethamine penicillin;0
triplopen injection;0
benzathine penicillin;1
penidural 229mg/5ml suspension;0
penidural 115mg/ml paediatric drops;0
penidural-la 2.29g/10ml injection;0
phenethicillin;1
broxil 250mg capsule;0
broxil 125mg/5ml syrup;0
distaquaine v-k 125mg tablet;0
distaquaine v-k 62.5mg/5ml syrup;0
distaquaine v-k 125mg/5ml syrup;0
distaquaine 250mg/5ml syrup;0
econocil vk 250mg capsule;0
econocil vk 125mg tablet;0
bentex 2mg tablet;0
disipal 40mg/2ml injection;1
crystapen 300mg injection;0
crystapen 3g injection;0
crystapen 6g injection;0
crystapen 12mg intrathecal injection;0
econocil vk 250mg tablet;0
stabillin v-k 62.5mg/5ml syrup;0
v-cil-k 250mg capsule;0
v-cil-k 125mg tablet;0
v-cil-k 250mg tablet;0
v-cil-k paediatric 62.5mg/5ml syrup;0
v-cil-k paediatric 125mg/5ml syrup;0
v-cil-k 250mg/5ml syrup;0
depocillin 3g injection;2
ampilar 125mg/5ml syrup;0
ampilar 250mg/5ml syrup;0
britcin 250mg capsule;0
britcin 500mg capsule;0
penbritin 125mg tablet;0
vidopen 125mg/5ml syrup;0
vidopen 250mg/5ml syrup;0
dicapen 750mg injection;0
dicapen 1.5g injection;0
dicapen 3g injection;0
unasyn 750mg/10ml injection;0
unasyn 375mg tablet;0
sultamicillin 375mg tablet;0
sulbactam ampicillin 750mg injection;1
ciclacillin;2
calthor 250mg tablet;0
calthor 500mg tablet;0
calthor 125mg/5ml suspension;0
calthor 250mg/5ml suspension;0
mezlocillin;7
baypen 500mg injection;0
orbenin 125mg/5ml syrup;0
orbenin 1g injection;0
staphlipen 250mg capsule;0
staphlipen 500mg capsule;0
staphlipen 250mg injection;0
staphlipen 500mg injection (pdr for recon);0
staphlipen 1g injection;0
celbenin 1g injection;0
temopen 500mg injection (pdr for recon);0
amoxidin 250mg capsule;0
amoxidin 500mg capsule;2
amoxil 125mg/5ml syrup;1
almodan 250mg injection;0
almodan 500mg injection;0
amfipen 250mg injection;0
amfipen 500mg injection;0
ampilar 250mg capsule;1
ampilar 500mg capsule;0
baypen 1g injection;0
baypen 2g injection;0
baypen 5g infusion;0
baypen 5g injection;0
keflex-c 125mg chewable tablet;1
keflex-c 250mg chewable tablet;0
cephalothin;0
keflin 1g injection;0
kefadol 500mg injection;0
kefadol 2g injection;0
moxalactam 500mg injection;0
moxalactam 1g injection;0
moxalactam 2g injection;0
azactam 2g infusion;0
achromycin 25g powder;0
achromycin v 250mg capsule;0
achromycin v 125mg/5ml syrup;0
pondocillin 175mg/sachet granules;0
miraxid paediatric sachet;0
pondocillin plus tablet;0
talpen 250mg tablet;1
talpen 125mg/5ml syrup;0
galenamox 125mg/5ml suspension;0
galenamox 250mg/5ml suspension;0
ticar 3g injection;0
timentin 800mg injection;0
mecillinam;0
selexidin 200mg injection;0
selexidin 400mg injection;0
selexid 200mg tablet;4
selexid 100mg/sachet suspension;1
tetrex 250mg capsule;0
achromycin 125mg/5ml syrup;0
aureomycin 250mg capsule;1
clomocycline sodium;1
megaclor 170mg capsule;0
cidomycin 160mg/2ml injection;0
genticin 20mg/2ml paediatric injection;0
lugacin 80mg/2ml injection;0
soframycin 250mg tablet;0
kannasyn 1g/4ml injection;0
arpimycin 125mg/5ml s/f suspension;0
arpimycin 250mg/5ml s/f suspension;0
arpimycin 500mg/5ml s/f suspension;0
erythrolar 250mg tablet;0
erythrolar 500mg tablet;0
erythrolar 250mg/5ml suspension;0
ilotycin 250mg tablet;0
erymax sprinkle 125mg capsule;0
ledermycin 300mg tablet;0
doxatet 100mg tablet;3
vibramycin 50mg/5ml syrup;0
tetralysal 204mg capsule;48
chemocycline 250mg tablet;0
chemocycline 125mg/5ml syrup;0
galenomycin 250mg tablet;0
unimycin 250mg capsule;0
chymocyclar capsule;0
mysteclin capsule;0
mysteclin syrup;0
lincomycin;2
lincocin 500mg capsule;0
lincocin 250mg/5ml syrup;0
chloromycetin powder 5g;0
streptotriad tablet;0
sulphatriad tablet;0
sulphadimethoxine;0
madribon 500mg tablet;0
sulphadimidine 500mg/5ml paediatric suspension;0
sulphafurazole;0
gantrisin 500mg tablet;0
gantrisin 500mg/5ml syrup;0
sulphaguanidine;1
sulphaurea;0
uromide tablet;0
ipral 50mg/5ml paediatric s/f suspension;0
syraprim 100mg tablet;0
syraprim 300mg tablet;0
syraprim 100mg/5ml injection;0
mynah 200mg tablet;0
chloramphenicol powder 5g;0
aerosporin 500,000units injection;0
polymyxin b 500,000units injection;0
bactrim paediatric 120mg tablet;0
bactrim 960mg/3ml intramuscular injection;0
bactrim 480mg/5ml intravenous infusion;0
comox 480mg tablet;0
comox 480mg dispersible tablet;0
comox forte 960mg tablet;1
comox 240mg/5ml paediatric suspension;0
laratrim 480mg tablet;0
septrin paediatric 120mg dispersible tablet;0
septrin 960mg/3ml intramuscular injection;1
calcium sulphaloxate;64
enteromide 500mg tablet;0
phthalylsulphathiazole;0
thalazole 500mg tablet;0
mynah 365mg tablet;0
rifadin 300mg intravenous infusion;0
rimactazid-300 tablets cp;0
elyzol 500mg/100ml intravenous infusion;0
elyzol 500mg suppository;0
teflox 300mg tablet;0
teflox 400mg tablet;0
pimafucin 500mg/20ml suspension;0
vira-a 1g/5ml injection;0
foscarnet 24mg/ml intravenous infusion;1
amodiaquine;8
camoquin 200mg tablet;0
malarivon 80mg/5ml syrup;1
elyzol 1g suppository;0
metrolyl 200mg tablet;0
metrolyl 400mg tablet;0
metrolyl 500mg/100ml intravenous infusion amp;0
metrolyl 500mg/100ml intravenous infusion bag;0
metrolyl 500mg suppository;0
metrolyl 1g suppository;0
nidazol 200mg tablet;0
fasigyn 800mg/400ml intravenous infusion;0
fasigyn 1.6g/800ml intravenous infusion;0
enoxacin;0
comprecin 200mg tablet;0
temafloxacin;1
nimorazole;0
naxogin 500mg tablet;2
atebrine;0
antepar 500mg tablet;0
ascalix 750mg/5ml syrup;0
ascalix 4g/20ml syrup;0
ascalix 4g/30ml syrup;0
yomesan 500mg tablet;0
alcopar 2.5g/sachet granules;0
banocide 50mg tablet;0
glibornuride;2
glutril 25mg tablet;0
glymidine;1
gondafon 500mg tablet;0
pramidex 500mg tablet;0
glucotard 5g/sachet mini-tablet;1
lejguar 90% granules;0
eudemine 50mg tablet;0
cortelan 25mg tablet;0
oradexon 500micrograms tablet;0
acetohexamide;0
dimelor 500mg tablet;0
libanil 2.5mg tablet;1
delta-phoricol 5mg tablet;0
deltalone 1mg tablet;0
depo-provera 50mg/1ml injection;369
gestone 10mg/1ml injection;1
mixogen tablet;0
prempak 0.625 tablet;779
controvlar tablet;0
methyltestosterone product;1
plex hormone tablet;1
virormone-oral 5mg tablet;0
sintisone 5mg tablet;0
econosone 1mg tablet;0
oestradiol 25mg implant 36 week;44
benztrone 1mg/1ml injection;0
oestradiol 1mg/1ml injection;3
ovestin 250micrograms tablet;18
oestriol 250micrograms tablet;1
quinestradol;0
pentovis 250micrograms tablet;0
quinestrol;0
estrovis 4mg tablet;6
virormone 10mg/1ml injection;0
genotropin 12iu multidose injection;54
somatropin 12iu injection;7
di-sipidin 30iu capsule;0
calcitonin and salcatonin;1
trh 40mg tablet;0
thyrotrophin product;3
thytropar 10iu injection;0
deca-durabolin 25mg/1ml syringe;0
durabolin 25mg/1ml syringe;0
somatrem;0
somatonorm 4iu injection;0
pimafucin 25mg vaginal tablet;0
nystan triple pack;0
nystavescent 100,000units pessary;0
desogestrel;57
lynoestrenol;1
minilyn tablet;1
hormofemin 0.025% cream;0
gyno-daktarin 100mg tampon;0
monistat 100mg pessary;0
anovlar-21 tablet;0
gynovalr-21 tablet;0
minovlar tablet;3
terodiline hydrochloride;2
terolin 12.5mg tablet;0
micturin 12.5mg tablet;0
phenazopyridine hydrochloride;0
pyridium 100mg tablet;0
urisal 4g/sachet granules;0
ammonium chloride mixture;0
emepronium bromide;1
cetiprin 100mg tablet;1
phenylpropanolamine hydrochloride;10
endoxana 10mg tablet;1
emtexate 10mg tablet;0
fe-cap 565mg capsule;0
kelferon 225mg tablet;0
ferromyn 100mg tablet;1
ironorm 116mg/ml drops;0
fe-cap folic capsule;1
kelfolate tablet;0
niferex 50mg tablet;0
ironedetate na 27.5mg/5ml elixir;0
bc-500 with iron tablet;2
fe-cap c capsule;0
feospan-z m/r capsule;1
ferrograd-c filmtab;18
ferromyn-s tablet;0
fesovit m/r capsule;0
fesovit-z m/r capsule;1
galfer-vit capsule;0
gastrovite tablet;1
medroxyprogest 80mg/ml suspension 100ml;1
sh-420 10mg tablet;0
drostanolone propionate;0
masteril 100mg/1ml injection;0
noltam 10mg tablet;0
galfer 290mg capsule;6
meterfer 304mg tablet;0
gevral tablet;0
givitol capsule;0
irofol-c m/r tablet;0
ironorm capsule;1
pregnavite forte f tablet;0
sodium chloride+glucose tablet;3
neo-cytamen 250micrograms/1ml injection;23
hepacon b12 1mg/1ml injection;293
k-contin continus 600mg m/r tablet;0
leo-k 600mg m/r tablet;0
micro-k 600mg m/r capsule;0
nu-k 600mg m/r capsule;0
diane 2mg tablet;2
chloramphenicol dtf 1% cream;2
mafenide;0
sulfamylon 8.5% cream;0
nitrofurazone product;2
furacin 0.2% ointment;0
silver sulphadiazine;0
fusidic acid;47
nitrophenol;1
phortinea 2% paint;0
nystan dusting powder;0
tolnaftate;1
akrotherm cream;0
aserbine product;0
pernomol paint;1
dromoran 2mg/1ml injection;0
omnopon 10mg tablet;0
omnopon 20mg/1ml injection;0
omnopon scopolamine injection;0
totamol 25mg tablet;0
arbralene 50mg tablet;0
nadolol;16
corgard 40mg tablet;2
apsolox 20mg tablet;0
slow-trasicor 160mg m/r tablet;9
trasicor 20mg tablet;9
oxyprenix sr 160mg m/r tablet;0
kerlone 20mg tablet;0
labrocol 100mg tablet;0
trandate 50mg tablet;1
betaloc 50mg tablet;5
lopresor 50mg tablet;6
mepranix 50mg tablet;1
pindolol;12
visken 5mg tablet;1
beta-cardone 40mg tablet;15
metoprolol tartrate+chlorthalidone 100mg/12.5mg tablet;26
nadolol+bendrofluazide 40mg/5mg tablet;1
secadrex tablet;0
nadolol+bendrofluazide 80mg/5mg tablet;0
sotazide tablet;0
penbutolol sulphate+frusemide 40mg/20mg tablet;0
pindolol+clopamide 10mg/5mg tablet;0
tenoret 50 tablet;37
tenoretic tablet;25
tolerzide tablet;4
sotalol hydrochloride+hydrochlorothiazide 80mg/12.5mg tablet;42
trasidrex tablet;3
timolol maleate+co-amilozide 10mg/2.5mg/25mg tablet;3
viskaldix tablet;2
timolol maleate+bendrofluazide 10mg/2.5mg tablet;5
timolol maleate+bendrofluazide 20mg/5mg tablet;0
atenixco 50mg/12.5mg tablet;1
tenchlor 50mg/12.5mg tablet;0
beta-adalat capsule;24
tenif capsule;27
sotacor 80mg tablet;6
betim 10mg tablet;3
blocadren 10mg tablet;0
co-betaloc tablet;0
corgaretic 40mg tablet;0
inderetic capsule;0
inderex capsule;0
kalten capsule;16
lasipressin tablet;0
lopresoretic tablet;0
metoprolol tartrate+hydrochlorothiazide 100mg/12.5mg tablet;4
moducren tablet;2
prestim tablet;1
propranolol hydrochloride+bendrofluazide 80mg/2.5mg capsule;55
acebutolol+hydrochlorothiazide 200mg/12.5mg tablet;0
atenolol+nifedipine 50mg/20mg m/r capsule;7
monocor 5mg tablet;1
catapres 100mcg tablet;5
methyldopa;72
aldomet 125mg tablet;7
emcor 10mg tablet;6
celectol 200mg tablet;24
apresoline 25mg tablet;1
minoxidil;70
loniten 2.5mg tablet;5
dopamet 125mg tablet;0
medomet 250mg tablet;0
hydromet tablet;0
metalpha 250mg tablet;1
methyldopa+hydrochlorothiazide 250mg/15mg tablet;0
dibenyline 10mg capsule;0
hypovase 500mcg tablet;20
alphavase 500micrograms tablet;0
hytrin 2mg tablet;30
bendogen 10mg tablet;2
declinax 10mg tablet;1
ismelin 10mg tablet;0
baratol 25mg tablet;1
doralese tiltab 20mg tablet;7
cardura 1mg tablet;267
lisinopril;16330
carace 2.5mg tablet;5
zestril 2.5mg tablet;72
quinapril;225
accuretic tablet;16
quinalapril+hydrochlorothiazide 10mg/12.5mg tablet;0
captopril;238
acepril 12.5mg tablet;0
capoten 12.5mg tablet;13
captopril+hydrochlorothiazide 25mg/12.5mg tablet;3
innovace 2.5mg tablet;17
innozide tablet;27
enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet;141
coversyl 2mg tablet;179
ramipril;28900
metirosine;0
demser 250mg capsule;0
glyceryl trinitrate;1768
coro-nitro spray 400micrograms spray;70
gtn 300micrograms sublingual tablet;52
nitrolingual 400micrograms spray;522
nitrocontin continus 2.6mg m/r tablet;0
suscard 1mg m/r buccal tablet;31
nitro-dur 2.5mg/24hours transdermal patch;8
sustac 2.6mg m/r tablet;0
staril 10mg tablet;8
cilazapril;26
vascace 250micrograms tablet;4
trandolapril;315
gopten 500micrograms capsule;23
odrik 500micrograms capsule;0
deponit 5mg/24hours transdermal patch;6
percutol 2% ointment;0
transiderm-nitro 5mg/24hours transdermal patch;6
imtack 1.25mg spray;0
isosorbide mononitrate;1815
monit ls 10mg tablet;0
ismo 10 tablet;13
imdur 60mg durule;188
elantan 10 tablet;40
mono-cedocard 10mg tablet;0
isib 20mg tablet;24
glytrin 400micrograms spray;30
minitran 5mg/24hours transdermal patch;1
isosorbide dinitrate;121
cedocard-5 sublingual tablet;0
isordil 5mg sublingual tablet;3
sorbichew 5mg chewable tablet;0
sorbitrate 10mg tablet;1
soni-slo 20mg m/r capsule;0
sorbid-20 sa m/r capsule;0
pentaerythritol tetranitrate;0
mycardol 30mg tablet;1
nifedipine;1340
